GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Holoners,controller,Cardbean,43,0,2,0,16,0,5,0,4,0
Holoners,controller,community,98,0,0,0,35,0,15,0,15,0
Holoners,controller,articleTemp,128,0,4,0,41,0,11,0,9,0
Holoners,controller,article,96,0,0,0,34,0,15,0,15,0
Holoners,controller,talentTemp,213,0,6,0,68,0,14,0,11,0
Holoners,controller,talent,134,0,0,0,48,0,23,0,23,0
Holoners,controller,comment,158,0,0,0,56,0,20,0,20,0
Holoners,controller,account,221,0,6,0,71,0,22,0,19,0
Holoners,controller,Commentbean,126,0,4,0,41,0,11,0,9,0
Holoners,controller,communityTemp,128,0,4,0,41,0,11,0,9,0
Holoners,controller,navbar,41,0,0,0,16,0,8,0,8,0
Holoners,controller,accountTemp,164,0,4,0,54,0,12,0,10,0
Holoners,controller,Communitybean,43,0,2,0,16,0,5,0,4,0
Holoners,controller,Articlebean,43,0,2,0,16,0,5,0,4,0
Holoners,test,commentDao,305,0,0,0,90,0,6,0,6,0
Holoners,test,loginNav,46,0,0,0,23,0,4,0,4,0
Holoners,test,communityNav,96,0,0,0,53,0,12,0,12,0
Holoners,test,NavigationTest,3,0,0,0,1,0,1,0,1,0
Holoners,test,articleNav,96,0,0,0,53,0,12,0,12,0
Holoners,test,homeNav,96,0,0,0,53,0,12,0,12,0
Holoners,test,talentNav,96,0,0,0,53,0,12,0,12,0
Holoners,model,commentDAO,166,0,0,0,58,0,6,0,6,0
Holoners,model,talentDAO,163,0,0,0,57,0,6,0,6,0
Holoners,model,accountDAO,311,0,8,0,98,0,16,0,12,0
Holoners,model,communityDAO,130,0,0,0,46,0,5,0,5,0
Holoners,model,articleDAO,163,0,0,0,57,0,6,0,6,0
Holoners,db,TestUnit,40,0,0,0,21,0,5,0,5,0
